"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 06:15:47 GMT 2025","Sun Nov 02 06:15:48 GMT 2025","1767","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Nov 02 06:15:53 GMT 2025","Sun Nov 02 06:15:57 GMT 2025","4208","LMS System","Courses","Courses","","","Create course",""
"passed","Sun Nov 02 06:15:47 GMT 2025","Sun Nov 02 06:15:49 GMT 2025","2240","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 06:15:49 GMT 2025","Sun Nov 02 06:15:52 GMT 2025","2363","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 06:15:55 GMT 2025","Sun Nov 02 06:15:55 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sun Nov 02 06:15:55 GMT 2025","Sun Nov 02 06:15:55 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sun Nov 02 06:15:49 GMT 2025","Sun Nov 02 06:15:52 GMT 2025","2521","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Nov 02 06:15:55 GMT 2025","Sun Nov 02 06:15:57 GMT 2025","2557","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Nov 02 06:15:55 GMT 2025","Sun Nov 02 06:15:55 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sun Nov 02 06:15:55 GMT 2025","Sun Nov 02 06:15:58 GMT 2025","3609","LMS System","Courses","Courses","","","Edit course",""
"passed","Sun Nov 02 06:15:47 GMT 2025","Sun Nov 02 06:15:49 GMT 2025","2216","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 06:15:58 GMT 2025","Sun Nov 02 06:15:58 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sun Nov 02 06:15:49 GMT 2025","Sun Nov 02 06:15:52 GMT 2025","2575","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Nov 02 06:15:49 GMT 2025","Sun Nov 02 06:15:55 GMT 2025","5087","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Nov 02 06:15:57 GMT 2025","Sun Nov 02 06:15:57 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sun Nov 02 06:15:57 GMT 2025","Sun Nov 02 06:15:57 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
